,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,4673626,HM274058,04-02-2006 13:00,055XX N MANGO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1622,16,45,11,26,1136872,1936499,2006,04/15/2016 08:55:02 AM,41.98191269,-87.77199638,"(41.981912692, -87.771996382)"
1,4673627,HM202199,02/26/2006 01:40:48 PM,065XX S RHODES AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE,FALSE,321,3,20,42,18,1181027,1861693,2006,04/15/2016 08:55:02 AM,41.77573254,-87.61191981,"(41.775732538, -87.611919814)"
2,4673628,HM113861,01-08-2006 23:16,013XX E 69TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,OTHER,FALSE,FALSE,321,3,5,69,04A,1186023,1859609,2006,04/15/2016 08:55:02 AM,41.76989739,-87.5936709,"(41.769897392, -87.593670899)"
4,4673629,HM274049,04-05-2006 18:45,061XX W NEWPORT AVE,0460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,1633,16,38,17,08B,1134772,1922299,2006,04/15/2016 08:55:02 AM,41.94298401,-87.78005695,"(41.942984005, -87.780056951)"
5,4673630,HM187120,02/17/2006 09:03:14 PM,037XX W 60TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,822,8,13,65,18,1152412,1864560,2006,04/15/2016 08:55:02 AM,41.78421085,-87.71674491,"(41.784210853, -87.71674491)"
6,4673631,HM263167,03/30/2006 10:30:00 PM,014XX W 73RD PL,0560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,734,7,17,67,08A,1167688,1855998,2006,04/15/2016 08:55:02 AM,41.76040137,-87.66098239,"(41.760401372, -87.660982392)"
7,4673632,HM273234,04-05-2006 12:10,050XX N LARAMIE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,1623,16,45,11,08B,1140791,1932993,2006,04/15/2016 08:55:02 AM,41.97222056,-87.75766982,"(41.972220564, -87.75766982)"
8,4673633,HM275105,04-05-2006 15:00,067XX S ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,832,8,15,66,06,1160205,1859776,2006,04/15/2016 08:55:02 AM,41.77092598,-87.68830411,"(41.770925978, -87.688304107)"
9,4673634,HM275063,04-05-2006 21:30,019XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1322,12,32,24,08A,1163122,1905349,2006,04/15/2016 08:55:02 AM,41.89592267,-87.67633373,"(41.895922672, -87.676333733)"
10,4673635,HM268513,04-03-2006 03:00,063XX S EBERHART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,312,3,20,42,08B,1180669,1863047,2006,04/15/2016 08:55:02 AM,41.77945628,-87.61319063,"(41.77945628, -87.613190628)"
11,4673637,HM275073,04-06-2006 11:15,0000X N LA SALLE ST,0810,THEFT,OVER $500,STREET,FALSE,FALSE,113,1,42,32,06,1175135,1900412,2006,04/15/2016 08:55:02 AM,41.88211436,-87.63236101,"(41.882114362, -87.632361012)"
12,4673639,HM272124,04-04-2006 20:15,029XX S FEDERAL ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,2113,1,3,35,26,1176025,1885766,2006,04/15/2016 08:55:02 AM,41.84190476,-87.62953384,"(41.841904764, -87.629533842)"
13,4673640,HM275082,04-06-2006 11:30,017XX E 86TH PL,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,FALSE,FALSE,412,4,8,45,07,1189375,1847970,2006,04/15/2016 08:55:02 AM,41.73787917,-87.5817568,"(41.737879171, -87.581756795)"
14,4673642,HM202299,02/26/2006 02:47:21 PM,002XX S LEAMINGTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1533,15,28,25,18,1142168,1898610,2006,04/15/2016 08:55:02 AM,41.87784456,-87.75346129,"(41.87784456, -87.753461293)"
15,4673643,HM270077,04-03-2006 20:09,073XX S WOODLAWN AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,324,3,5,69,04B,1185483,1856655,2006,04/15/2016 08:55:02 AM,41.76180407,-87.59574313,"(41.761804069, -87.595743133)"
16,4673644,HM187135,02/17/2006 09:26:33 PM,052XX S FAIRFIELD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,911,9,14,63,18,1158926,1869898,2006,04/15/2016 08:55:02 AM,41.79872839,-87.69271604,"(41.798728387, -87.692716037)"
17,4673645,HM272962,04-05-2006 08:00,024XX W HARRISON ST,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,FALSE,FALSE,1135,11,2,28,07,1160214,1897293,2006,04/15/2016 08:55:02 AM,41.8738769,-87.68723697,"(41.873876903, -87.687236966)"
18,4673646,HM263178,03/31/2006 08:20:00 AM,067XX S PERRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,722,7,6,69,08B,1176558,1860293,2006,04/15/2016 08:55:02 AM,41.77199249,-87.62834469,"(41.771992493, -87.628344689)"
19,4673648,HM273363,04-05-2006 13:30,046XX N MILWAUKEE AVE,1330,CRIMINAL TRESPASS,TO LAND,PARK PROPERTY,TRUE,FALSE,1623,16,45,15,26,1140652,1930355,2006,04/15/2016 08:55:02 AM,41.96498423,-87.75824607,"(41.96498423, -87.758246066)"
20,4673649,HM263200,03/31/2006 05:00:00 AM,062XX S RACINE AVE,0810,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,713,7,16,67,06,1169388,1863488,2006,04/15/2016 08:55:02 AM,41.78091824,-87.65453519,"(41.780918241, -87.654535186)"
21,4674087,HM258730,03/28/2006 10:00:00 PM,036XX N TRIPP AVE,0890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1731,17,38,16,06,1147354,1923850,2006,04/15/2016 08:55:02 AM,41.94700792,-87.73377155,"(41.947007916, -87.733771546)"
22,4673651,HM187138,02/17/2006 09:49:21 PM,025XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,825,8,15,66,18,1160358,1862793,2006,04/15/2016 08:55:02 AM,41.7792019,-87.68766023,"(41.779201903, -87.68766023)"
23,4673652,HM273922,04-05-2006 18:18,064XX S EVANS AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,STREET,FALSE,FALSE,312,3,20,42,04B,1182324,1862574,2006,04/15/2016 08:55:02 AM,41.77812013,-87.60713791,"(41.77812013, -87.607137914)"
24,4673653,HM275134,04-06-2006 09:45,003XX E SUPERIOR ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1834,18,42,8,06,1178703,1905437,2006,04/15/2016 08:55:02 AM,41.89582249,-87.61910591,"(41.895822485, -87.61910591)"
25,4673654,HM263245,03/31/2006 09:13:54 AM,067XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,724,7,17,68,08B,1170473,1860174,2006,04/15/2016 08:55:02 AM,41.77180065,-87.65065382,"(41.771800653, -87.650653815)"
26,4673655,HM274352,04-05-2006 22:30,086XX W CATHERINE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1614,16,41,76,08A,1117738,1934538,2006,04/15/2016 08:55:02 AM,41.97685401,-87.84240905,"(41.976854005, -87.842409045)"
27,4673656,HM274327,04-05-2006 22:10,006XX E 75TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,FALSE,FALSE,323,3,6,69,03,1181994,1855431,2006,04/15/2016 08:55:02 AM,41.75852667,-87.60856835,"(41.758526669, -87.608568354)"
28,4673657,HM263290,03/31/2006 10:00:00 AM,018XX W 69TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,726,7,17,67,26,1165457,1858929,2006,04/15/2016 08:55:02 AM,41.768492,-87.66907613,"(41.768491995, -87.669076134)"
29,4673658,HM187164,02/17/2006 10:07:09 PM,013XX W 99TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2213,22,21,73,18,1169204,1839119,2006,04/15/2016 08:55:02 AM,41.71405035,-87.65591314,"(41.71405035, -87.655913138)"
30,4673659,HM275109,04-05-2006 17:00,013XX N MONITOR AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2531,25,29,25,07,1137107,1908351,2006,04/15/2016 08:55:02 AM,41.90466744,-87.77181025,"(41.904667442, -87.771810253)"
31,4673660,HM270962,04-04-2006 09:25,070XX S EBERHART AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,322,3,6,69,03,1180796,1858402,2006,04/15/2016 08:55:02 AM,41.76670702,-87.61286769,"(41.766707017, -87.612867693)"
32,4673662,HM274694,04-05-2006 13:30,061XX N CICERO AVE,0810,THEFT,OVER $500,VEHICLE-COMMERCIAL,FALSE,FALSE,1621,16,39,12,06,1143282,1940149,2006,04/15/2016 08:55:02 AM,41.99181086,-87.74833016,"(41.991810858, -87.748330158)"
33,4673663,HM272301,04-04-2006 20:50,012XX E 53RD ST,0820,THEFT,$500 AND UNDER,ALLEY,TRUE,FALSE,2131,2,4,41,06,1185262,1870376,2006,04/15/2016 08:55:02 AM,41.79946087,-87.59612197,"(41.79946087, -87.596121972)"
34,4673665,HM187180,02/17/2006 10:15:18 PM,104XX S MARYLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,512,5,9,50,18,1183753,1835855,2006,04/15/2016 08:55:02 AM,41.70476706,-87.60273081,"(41.704767061, -87.602730813)"
35,4673666,HM263335,03/31/2006 10:09:29 AM,057XX S DAMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,715,7,15,67,08B,1164008,1866540,2006,04/15/2016 08:55:02 AM,41.78940817,-87.6741736,"(41.789408173, -87.674173599)"
36,4673667,HM275133,04-06-2006 00:00,010XX E 46TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,FALSE,FALSE,2123,2,4,39,07,1184015,1874724,2006,04/15/2016 08:55:02 AM,41.81142137,-87.60055904,"(41.811421373, -87.600559037)"
37,4673668,HM270946,04-04-2006 09:20,065XX W BRYN MAWR AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,1612,16,41,10,10,1131583,1936817,2006,04/15/2016 08:55:02 AM,41.98287878,-87.79144084,"(41.98287878, -87.791440835)"
38,4673669,HM275153,04-06-2006 00:00,023XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1024,10,22,30,14,1154064,1888321,2006,04/15/2016 08:55:02 AM,41.84938154,-87.71005608,"(41.849381544, -87.710056078)"
39,4673671,HM270257,04-03-2006 22:10,0000X N PULASKI RD,0460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1115,11,28,26,08B,1149725,1899855,2006,04/15/2016 08:55:02 AM,41.88111752,-87.72568123,"(41.88111752, -87.725681231)"
40,4673672,HM274520,04-06-2006 01:30,051XX N EAST RIVER RD,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1614,16,41,76,06,1116626,1932599,2006,04/15/2016 08:55:02 AM,41.97155057,-87.84653899,"(41.971550568, -87.846538986)"
41,4673674,HM273789,04-05-2006 01:00,003XX S SACRAMENTO BLVD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,FALSE,FALSE,1124,11,28,27,07,1156430,1898408,2006,04/15/2016 08:55:02 AM,41.8770139,-87.7010999,"(41.877013896, -87.7010999)"
42,4673676,HM266799,04-02-2006 02:15,042XX W WILCOX ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,1115,11,28,26,08B,1148174,1898999,2006,04/15/2016 08:55:02 AM,41.87879855,-87.73139851,"(41.878798552, -87.731398505)"
43,4673677,HM186846,02/17/2006 06:46:23 PM,061XX S MAY ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,712,7,16,68,18,1169700,1864172,2006,04/15/2016 08:55:02 AM,41.78278845,-87.6533715,"(41.782788454, -87.653371503)"
44,4673678,HM273093,04-04-2006 11:00,063XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,312,3,20,42,03,1182650,1863246,2006,04/15/2016 08:55:02 AM,41.7799566,-87.60592196,"(41.7799566, -87.605921959)"
45,4673680,HM263324,03/30/2006 10:00:00 PM,017XX W 59TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,714,7,15,67,05,1165551,1865564,2006,04/15/2016 08:55:02 AM,41.7866973,-87.66854357,"(41.786697304, -87.668543565)"
46,4673681,HM275157,04-06-2006 11:40,052XX S PULASKI RD,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,815,8,23,62,06,1150589,1869566,2006,04/15/2016 08:55:02 AM,41.79798376,-87.72329858,"(41.79798376, -87.723298581)"
47,4673684,HM274723,04-05-2006 17:00,073XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,323,3,6,69,14,1179746,1856495,2006,04/15/2016 08:55:02 AM,41.76149808,-87.61677455,"(41.761498077, -87.616774546)"
48,4673685,HM275152,04-06-2006 11:30,051XX S FAIRFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,FALSE,TRUE,911,9,14,63,26,1158909,1870481,2006,04/15/2016 08:55:02 AM,41.80032856,-87.69276245,"(41.800328564, -87.692762447)"
49,4673686,HM263342,03/31/2006 10:15:00 AM,070XX S MORGAN ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,733,7,17,68,06,1170858,1858216,2006,04/15/2016 08:55:02 AM,41.76641927,-87.64929961,"(41.766419266, -87.649299614)"
50,4673687,HM186978,02/17/2006 07:14:31 PM,053XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,1522,15,28,25,18,1140588,1899501,2006,04/15/2016 08:55:02 AM,41.88031873,-87.75924086,"(41.880318725, -87.759240858)"
51,4673689,HM275032,03/31/2006 04:30:00 PM,023XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1414,14,35,22,06,1157264,1915189,2006,04/15/2016 08:55:02 AM,41.92304552,-87.69758109,"(41.923045523, -87.697581087)"
52,4673691,HM272954,04-05-2006 06:40,049XX W GUNNISON ST,0560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,1623,16,45,12,08A,1142443,1931792,2006,04/15/2016 08:55:02 AM,41.9688943,-87.75162505,"(41.968894301, -87.751625046)"
53,4673692,HM273295,04-05-2006 12:50,077XX W HORTENSE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1612,16,41,10,07,1123723,1941522,2006,04/15/2016 08:55:02 AM,41.9959226,-87.82024518,"(41.995922601, -87.820245184)"
54,4673693,HM263378,03/28/2006 03:48:00 PM,068XX S NORMAL BLVD,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,722,7,6,68,06,1174130,1859520,2006,04/15/2016 08:55:02 AM,41.76992556,-87.63726788,"(41.769925563, -87.637267875)"
55,4673697,HM202338,02/26/2006 02:46:14 PM,041XX N RICHMOND ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1724,17,33,16,26,1155976,1927357,2006,04/15/2016 08:55:02 AM,41.95646148,-87.70198437,"(41.956461477, -87.701984374)"
56,4673698,HM187131,02/17/2006 09:15:00 PM,015XX S SPAULDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1021,10,24,29,18,1154616,1892229,2006,04/15/2016 08:55:02 AM,41.86009453,-87.70792569,"(41.860094531, -87.707925692)"
57,4673703,HM263399,03/31/2006 10:40:00 AM,064XX S HERMITAGE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,TRUE,TRUE,725,7,15,67,06,1165776,1861992,2006,04/15/2016 08:55:02 AM,41.7768905,-87.66781996,"(41.776890504, -87.667819959)"
58,4673705,HM275065,04-05-2006 21:00,070XX S JUSTINE ST,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,734,7,17,67,06,1167220,1858094,2006,04/15/2016 08:55:02 AM,41.7661631,-87.66263773,"(41.7661631, -87.662637731)"
59,4673706,HM274741,04-03-2006 22:00,008XX W 66TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,FALSE,FALSE,723,7,16,68,26,1171666,1861083,2006,04/15/2016 08:55:02 AM,41.77426899,-87.64625405,"(41.774268989, -87.646254049)"
60,4673710,HM202472,02/26/2006 04:37:05 PM,034XX N HALSTED ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,2331,19,44,6,18,1170308,1923271,2006,04/15/2016 08:55:02 AM,41.94494752,-87.64941627,"(41.944947517, -87.64941627)"
61,4673712,HM275008,04-05-2006 16:00,020XX N FREMONT ST,0810,THEFT,OVER $500,STREET,FALSE,FALSE,1812,18,43,7,06,1169965,1913713,2006,04/15/2016 08:55:02 AM,41.91872743,-87.6509566,"(41.918727429, -87.650956601)"
62,4673713,HM203888,02/27/2006 01:41:15 PM,047XX S WESTERN AVE,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,DRUG STORE,TRUE,FALSE,911,9,12,58,18,1161164,1873304,2006,04/15/2016 08:55:02 AM,41.80802882,-87.68441446,"(41.808028819, -87.684414463)"
63,4673716,HM263445,03/30/2006 11:05:00 AM,068XX S STEWART AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,722,7,6,68,08B,1174651,1859743,2006,04/15/2016 08:55:02 AM,41.77052591,-87.63535149,"(41.770525914, -87.635351487)"
64,4673717,HM274247,04-05-2006 20:48,042XX W THOMAS ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,FALSE,FALSE,1111,11,37,23,04B,1147978,1906999,2006,04/15/2016 08:55:02 AM,41.9007552,-87.7319123,"(41.9007552, -87.7319123)"
65,4673718,HM187194,02/17/2006 10:24:43 PM,066XX S CAMPBELL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,832,8,15,66,18,1160853,1860499,2006,04/15/2016 08:55:02 AM,41.77289663,-87.68590882,"(41.772896632, -87.685908815)"
66,4673719,HM163908,02-04-2006 23:50,007XX N LAVERGNE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1531,15,28,25,18,1142884,1904624,2006,04/15/2016 08:55:02 AM,41.8943344,-87.75068235,"(41.894334398, -87.750682353)"
67,4673720,HM203894,02/27/2006 01:45:00 PM,034XX W WILSON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,1723,17,33,14,18,1152455,1930350,2006,04/15/2016 08:55:02 AM,41.96474492,-87.71484914,"(41.964744922, -87.714849143)"
68,4673721,HM274491,04-02-2006 12:30,074XX S CHAPPEL AVE,3960,INTIMIDATION,INTIMIDATION,APARTMENT,FALSE,FALSE,333,3,5,43,26,1191171,1855946,2006,04/15/2016 08:55:02 AM,41.75972279,-87.57491925,"(41.759722788, -87.574919245)"
69,4673723,HM274686,04-06-2006 01:00,078XX S LUELLA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,414,4,7,43,14,1192563,1853313,2006,04/15/2016 08:55:02 AM,41.75246383,-87.56990331,"(41.752463832, -87.569903305)"
70,4673726,HM263464,03-05-2006 09:00,017XX W 64TH ST,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,725,7,15,67,06,1165671,1862250,2006,04/15/2016 08:55:02 AM,41.77760072,-87.66819757,"(41.777600719, -87.668197571)"
71,4673727,HM275199,04-04-2006 00:00,115XX S NORMAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,524,5,34,53,14,1175037,1828341,2006,04/15/2016 08:55:02 AM,41.684346,-87.63487057,"(41.684346, -87.634870573)"
72,4673729,HM163918,02-05-2006 00:17,013XX S HOMAN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1021,10,24,29,18,1153917,1893490,2006,04/15/2016 08:55:02 AM,41.8635688,-87.71045797,"(41.8635688, -87.710457968)"
73,4784468,HM394400,06-02-2006 16:00,046XX W 49TH ST,0810,THEFT,OVER $500,OTHER,FALSE,FALSE,815,8,23,56,06,,,2006,08/17/2015 03:03:40 PM,,,
74,4673730,HM272953,02-07-2006 10:00,030XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2112,1,2,35,14,1179306,1885032,2006,04/15/2016 08:55:02 AM,41.83981621,-87.61751617,"(41.839816207, -87.617516172)"
75,4673731,HM203954,02/27/2006 02:42:00 PM,0000X N LATROBE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1522,15,28,25,18,1141381,1899907,2006,04/15/2016 08:55:02 AM,41.88141825,-87.75631898,"(41.881418247, -87.756318983)"
76,4673733,HM187197,02/17/2006 10:26:00 PM,086XX S BURNHAM AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,423,4,7,46,18,1196319,1848149,2006,04/15/2016 08:55:02 AM,41.73820114,-87.55631033,"(41.738201136, -87.556310325)"
77,4673734,HM274609,04-06-2006 04:40,061XX S VERNON AVE,0560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,313,3,20,42,08A,1180307,1864332,2006,04/15/2016 08:55:02 AM,41.78299076,-87.61447837,"(41.782990756, -87.614478366)"
78,4673735,HM275200,04-02-2006 10:00,039XX N PINE GROVE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2323,19,46,6,06,1170697,1926312,2006,04/15/2016 08:55:02 AM,41.9532836,-87.64789708,"(41.953283604, -87.647897082)"
79,4673737,HM272400,04-04-2006 22:48,080XX S ADA ST,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,APARTMENT,FALSE,FALSE,612,6,21,71,26,1168726,1851460,2006,04/15/2016 08:55:02 AM,41.74792616,-87.65730878,"(41.747926162, -87.657308777)"
80,4673738,HM274813,03-03-2006 12:00,002XX W MADISON ST,0890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,113,1,42,32,06,1174636,1900346,2006,04/15/2016 08:55:02 AM,41.88194442,-87.63419529,"(41.881944424, -87.634195294)"
81,4673739,HM163936,02-04-2006 23:40,001XX N CICERO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1532,15,28,25,18,1144352,1900706,2006,04/15/2016 08:55:02 AM,41.88355547,-87.74538937,"(41.883555466, -87.745389366)"
82,4673740,HM263570,03/31/2006 11:38:00 AM,070XX S PRINCETON AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,731,7,6,69,08B,1175510,1858310,2006,04/15/2016 08:55:02 AM,41.76657443,-87.63224556,"(41.766574426, -87.632245564)"
83,4673741,HM274486,04-06-2006 00:43,005XX E 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,313,3,20,42,14,1180766,1863351,2006,04/15/2016 08:55:02 AM,41.78028826,-87.61282568,"(41.780288256, -87.61282568)"
84,4673744,HM275098,04-05-2006 20:00,017XX N DAMEN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1434,14,32,24,06,1162755,1911413,2006,04/15/2016 08:55:02 AM,41.91257044,-87.67751137,"(41.912570441, -87.677511373)"
85,4673746,HM274733,04-05-2006 21:00,078XX S SOUTH SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08B,1197744,1854151,2006,04/15/2016 08:55:02 AM,41.75463564,-87.55088962,"(41.754635641, -87.55088962)"
86,4673748,HM270567,04-04-2006 04:17,022XX E 68TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,TRUE,FALSE,331,3,5,43,14,1192228,1860315,2006,04/15/2016 08:55:02 AM,41.77168602,-87.57090349,"(41.771686024, -87.570903489)"
87,4673749,HM185387,02/16/2006 10:40:13 PM,0000X N CENTRAL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1513,15,29,25,18,1139048,1899783,2006,04/15/2016 08:55:02 AM,41.8811207,-87.7648888,"(41.881120698, -87.7648888)"
88,4673751,HM163961,02-05-2006 00:40,062XX S DR MARTIN LUTHER KING JR DR,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,TRUE,FALSE,313,3,20,42,18,1179993,1863685,2006,04/15/2016 08:55:02 AM,41.78122252,-87.61564938,"(41.781222523, -87.615649378)"
90,4673753,HM272753,04-05-2006 07:07,026XX W MADISON ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,TRUE,FALSE,1125,11,2,27,08B,1158638,1899913,2006,04/15/2016 08:55:02 AM,41.88109884,-87.69295153,"(41.881098841, -87.692951526)"
91,4673755,HM274675,04-06-2006 07:00,105XX S AVENUE L,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,432,4,10,52,08B,1201842,1835776,2006,04/15/2016 08:55:02 AM,41.70411006,-87.53649544,"(41.704110064, -87.536495442)"
92,4673756,HM272426,04-04-2006 21:28,026XX S KARLOV AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,TRUE,FALSE,1031,10,22,30,26,1149475,1886103,2006,04/15/2016 08:55:02 AM,41.84338523,-87.72695588,"(41.843385232, -87.72695588)"
93,4673757,HM271356,04-04-2006 08:00,071XX S EUCLID AVE,0890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,333,3,5,43,06,1190279,1857964,2006,04/15/2016 08:55:02 AM,41.76528188,-87.57812343,"(41.765281881, -87.578123428)"
94,4673758,HM274903,04-04-2006 22:00,079XX S ASHLAND AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,611,6,21,71,06,1167051,1852166,2006,04/15/2016 08:55:02 AM,41.74989948,-87.66342638,"(41.749899475, -87.663426378)"
