,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1007,4675017,HM269450,04-03-2006 15:20,051XX S HONORE ST,1330,CRIMINAL TRESPASS,TO LAND,ABANDONED BUILDING,TRUE,FALSE,932,9,16,61,26,1164884,1870628,2006,04/15/2016 08:55:02 AM,41.80060767,-87.67084606,"(41.800607672, -87.670846061)"
1008,4675018,HM271495,04-03-2006 13:20,017XX N LARRABEE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,1813,18,43,7,26,1172005,1911858,2006,04/15/2016 08:55:02 AM,41.91359243,-87.64351633,"(41.913592431, -87.643516325)"
1009,4675019,HM276803,04-07-2006 01:30,087XX S DAUPHIN AVE,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,632,6,8,44,06,1184001,1847027,2006,04/15/2016 08:55:02 AM,41.73541857,-87.6014749,"(41.735418574, -87.601474904)"
1010,4675020,HM267362,04-02-2006 13:30,074XX S PARNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,732,7,17,68,08B,1173834,1855620,2006,04/15/2016 08:55:02 AM,41.75923007,-87.63846837,"(41.759230067, -87.638468365)"
1011,4675022,HM275717,04-06-2006 17:00,046XX W 59TH ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,813,8,13,65,06,1146477,1865015,2006,04/15/2016 08:55:02 AM,41.78557418,-87.73849369,"(41.785574176, -87.738493688)"
1012,4675023,HM275925,04-06-2006 19:00,082XX S STATE ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,FALSE,FALSE,622,6,6,44,03,1177720,1850557,2006,04/15/2016 08:55:02 AM,41.74524959,-87.6243793,"(41.745249587, -87.624379304)"
1013,4675024,HM273576,04-04-2006 21:25,045XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2123,2,4,39,08B,1185448,1874978,2006,04/15/2016 08:55:02 AM,41.81208472,-87.59529495,"(41.812084717, -87.59529495)"
1014,4675025,HM275054,04-06-2006 11:20,002XX E 103RD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,512,5,9,49,06,1179531,1836723,2006,04/15/2016 08:55:02 AM,41.70724622,-87.61816468,"(41.707246223, -87.618164684)"
1015,4675026,HM276578,04-07-2006 04:29,040XX W 79TH ST,0820,THEFT,$500 AND UNDER,GAS STATION,FALSE,FALSE,834,8,13,70,06,1150944,1851923,2006,04/15/2016 08:55:02 AM,41.74956162,-87.72245629,"(41.749561617, -87.722456293)"
1016,4675027,HM267477,04-02-2006 14:20,002XX W MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,722,7,6,68,14,1175578,1860536,2006,04/15/2016 08:55:02 AM,41.7726813,-87.63192978,"(41.7726813, -87.631929781)"
1017,4675028,HM272902,04-04-2006 19:30,008XX N LA SALLE DR,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1832,18,42,8,06,1174989,1906050,2006,04/15/2016 08:55:02 AM,41.89758862,-87.63272808,"(41.897588619, -87.632728083)"
1018,4675029,HM275246,04-06-2006 13:05,002XX S DEARBORN ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,FEDERAL BUILDING,TRUE,FALSE,112,1,42,32,26,1175968,1899257,2006,04/15/2016 08:55:02 AM,41.87892626,-87.62933706,"(41.878926264, -87.629337063)"
1019,4675030,HM275986,04-06-2006 19:30,007XX E 62ND ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,313,3,20,42,08A,1182428,1864068,2006,04/15/2016 08:55:02 AM,41.78221739,-87.60671037,"(41.782217394, -87.606710369)"
1020,4675031,HM273333,04-05-2006 10:00,112XX S WALLACE ST,0850,THEFT,ATTEMPT THEFT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2233,22,34,49,06,1174313,1830380,2006,04/15/2016 08:55:02 AM,41.68995741,-87.63746062,"(41.68995741, -87.637460623)"
1021,4675032,HM276032,04-06-2006 20:00,085XX S RACINE AVE,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,FALSE,FALSE,613,6,21,71,03,1169810,1848260,2006,04/15/2016 08:55:02 AM,41.73912148,-87.6534293,"(41.739121482, -87.653429303)"
1022,4675033,HM274332,04-05-2006 22:11,086XX S COTTAGE GROVE AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,TRUE,FALSE,632,6,6,44,26,1183071,1847869,2006,04/15/2016 08:55:02 AM,41.73775077,-87.60485591,"(41.737750767, -87.604855911)"
1023,4675034,HM275197,04-06-2006 12:45,046XX N WESTERN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,1911,19,47,4,26,1159528,1930899,2006,04/15/2016 08:55:02 AM,41.96610836,-87.68882833,"(41.966108362, -87.688828331)"
1024,4675035,HM276636,04-06-2006 17:00,064XX S MAJOR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,812,8,13,64,14,1139533,1861095,2006,04/15/2016 08:55:02 AM,41.77494601,-87.76404925,"(41.774946007, -87.764049247)"
1025,4675036,HM276799,03/29/2006 04:30:00 PM,057XX W LAWRENCE AVE,0560,ASSAULT,SIMPLE,BAR OR TAVERN,FALSE,FALSE,1622,16,45,15,08A,1137041,1931332,2006,04/15/2016 08:55:02 AM,41.96773095,-87.77149947,"(41.967730947, -87.771499467)"
1026,4675037,HM264568,03/31/2006 08:29:00 PM,010XX S HOMAN AVE,0460,BATTERY,SIMPLE,CTA BUS,TRUE,FALSE,1133,11,24,29,08B,1153862,1895287,2006,04/15/2016 08:55:02 AM,41.86850106,-87.71061202,"(41.86850106, -87.710612019)"
1027,4675038,HM276815,04-06-2006 17:00,012XX W 87TH ST,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2222,22,21,71,06,1169396,1847086,2006,04/15/2016 08:55:02 AM,41.73590883,-87.65498003,"(41.735908826, -87.654980027)"
1028,4675040,HM275852,04-04-2006 20:13,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,833,8,13,65,06,1145727,1853720,2006,04/15/2016 08:55:02 AM,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
1029,4675042,HM275301,04-06-2006 14:50,001XX N WACKER DR,0810,THEFT,OVER $500,RESTAURANT,FALSE,FALSE,111,1,42,32,06,1173911,1901340,2006,04/15/2016 08:55:02 AM,41.8846882,-87.63682784,"(41.884688197, -87.636827836)"
